handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_ec15c7a5-9345-4c8b-a4ee-0b08560ed5ef,Variant,,,,,57,,,0,TRUE,,,11,0.07,,,Saddle,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ec15c7a5-9345-4c8b-a4ee-0b08560ed5ef,Variant,,,,,59,,,0,TRUE,,,9,0.07,,,Burnt Umber,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27f46659-f14b-398b-ef4d-a37bcac3a47e,Product,Denali National Park and Reserve Sticker,"<p>3.5 x 3.5 inches</p><p>&nbsp;</p><p>My National Park collection is perfect for anybody who loves (or even mildly likes) to travel. &nbsp;They're perfect to stick to cars, hydro flasks,&nbsp;laptops, and planners. I did my best to keep the designs simple while still ringing true to the scenery. &nbsp;One special touch is that I included the state flower for where&nbsp;the national parks are located. &nbsp;Denali National Park and Reserve is in Alaska, so the flowers you see in the design are the Forget-Me-Not.</p><p>&nbsp;</p><p>Each National Park&nbsp;sticker comes in two background colors and two design colors. The two design colors are always either black or white, but the background choices vary depending on the park. This listing is for Denali, so the background colors are Seafoam (a muted bluish green) or Aegean (a gray toned dark blue).</p><p>&nbsp;</p><ul>	<li>Matte finish</li>	<li>Removable and replaceable</li>	<li>Waterproof</li>	<li>Weatherproof</li>	<li>Dishwasher safe, can be placed on cars and water bottles</li>	<li>Removes with little to no residue, any residue can be easily removed with hand sanitizer or rubbing alcohol</li></ul>",2077e7_f606b1c1245f4d0692c874111a6ef845~mv2.jpg;2077e7_da9d2c490aad4f3f876dc0e3b4945d45~mv2.jpg;2077e7_2cc65a84cff04d53a580f75486028d6b~mv2.jpg;2077e7_b59ede55a32b442fb077a960041f61b2~mv2.jpg;2077e7_ff3c088b5aa1421eb85117b03475d638~mv2.jpg;2077e7_c0a9bfc47f554bb0822d255ab9352cc8~mv2.jpg;2077e7_1b854cd3e4b34df9bf996a874a0bccc4~mv2.jpg;2077e7_379e884f23354f5cb7d5890424bc38d2~mv2.jpg;2077e7_8225c9cc5a134cf0b682e4e99af2d60c~mv2.jpg;2077e7_3d282f94d8fc416e971234f1c09efd50~mv2.jpg,Stickers,,,3.25,,TRUE,PERCENT,0,0,0,Background Color,DROP_DOWN,Seafoam;Aegean,Design,DROP_DOWN,Black;White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27f46659-f14b-398b-ef4d-a37bcac3a47e,Variant,,,,,52,,,0,TRUE,,,12,0.07,,,Seafoam,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27f46659-f14b-398b-ef4d-a37bcac3a47e,Variant,,,,,54,,,0,TRUE,,,10,0.07,,,Aegean,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27f46659-f14b-398b-ef4d-a37bcac3a47e,Variant,,,,,53,,,0,TRUE,,,11,0.07,,,Seafoam,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27f46659-f14b-398b-ef4d-a37bcac3a47e,Variant,,,,,55,,,0,TRUE,,,7,0.07,,,Aegean,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b627baf-27a2-cb3a-8914-2209765d5cb3,Product,Joshua Tree National Park Sticker,"<p>3.5 x 3.5 inches</p><p>&nbsp;</p><p>My National Park collection is perfect for anybody who loves (or even mildly likes) to travel. &nbsp;They're perfect to stick to cars, hydro flasks,&nbsp;laptops, and planners. I did my best to keep the designs simple while still ringing true to the scenery. &nbsp;One special touch is that I included the state flower for where&nbsp;the national parks are located. &nbsp;Joshua Tree National Park is in California, so the flowers you see in the design are the California Poppy.</p><p>&nbsp;</p><p>Each National Park&nbsp;sticker comes in two background colors and two design colors. The two design colors are always either black or white, but the background choices vary depending on the park. This listing is for Joshua Tree, so the background colors are Terracotta (a rich reddish brown) or Light Seafoam (a gray toned bluish green).</p><p>&nbsp;</p><ul>	<li>Matte finish</li>	<li>Removable and replaceable</li>	<li>Waterproof</li>	<li>Weatherproof</li>	<li>Dishwasher safe, can be placed on cars and water bottles</li>	<li>Removes with little to no residue, any residue can be easily removed with hand sanitizer or rubbing alcohol</li></ul>",2077e7_38c4336f6c2b4137971c57ad9b8f8e4d~mv2.jpg;2077e7_33402906f06845b0bdf4a3e1d317d778~mv2.jpg;2077e7_602d238687d04451ae8b9b68b1f6326d~mv2.jpg;2077e7_084b3feb0c734467bcd2c0270dd0dfdf~mv2.jpg;2077e7_75762fc6174b4b6ab6132dfbb13b400b~mv2.jpg;2077e7_da4b13f683424cab854c20fe535cbb1f~mv2.jpg;2077e7_2cbb90d1a451434bbbd73e239c31fdf4~mv2.jpg;2077e7_5093da2d60d44b6ebbb6df85c79d55de~mv2.jpg;2077e7_11b1883219194663bb79eede23106342~mv2.jpg;2077e7_ad51369887c74f989a32000715282390~mv2.jpg;2077e7_ab3085c5062a459ba2c84637b7d4d6d7~mv2.jpg,Stickers,,,3.25,,TRUE,PERCENT,0,0,0,Background Color,DROP_DOWN,Terracotta;Light Seafoam,Design,DROP_DOWN,Black;White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b627baf-27a2-cb3a-8914-2209765d5cb3,Variant,,,,,48,,,0,TRUE,,,8,0.07,,,Terracotta,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b627baf-27a2-cb3a-8914-2209765d5cb3,Variant,,,,,50,,,0,TRUE,,,10,0.07,,,Light Seafoam,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b627baf-27a2-cb3a-8914-2209765d5cb3,Variant,,,,,49,,,0,TRUE,,,9,0.07,,,Terracotta,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b627baf-27a2-cb3a-8914-2209765d5cb3,Variant,,,,,51,,,0,TRUE,,,11,0.07,,,Light Seafoam,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
